mosquito_id,morph_id_genus,morph_id_anopheles_species,variable,value
001_mi,Anopheles,stephensi,specimen_image_1,WIN_20220707_17_24_38_Pro-17_29_2.jpg
001_mi,Anopheles,stephensi,specimen_image_2,WIN_20220707_17_26_27_Pro-17_29_7.jpg
001_mi,Anopheles,stephensi,specimen_image_3,WIN_20220707_17_26_50_Pro-17_29_12.jpg
001_p,Anopheles,stephensi,specimen_image_2,1657234400999.jpg
001_p,Anopheles,stephensi,specimen_image_3,1657234427772.jpg
001_p,Anopheles,stephensi,specimen_image_1,1657234391622.jpg
001_pc,Anopheles,stephensi,specimen_image_3,1657231286147.jpg
001_pc,Anopheles,stephensi,specimen_image_2,1657231275363.jpg
001_pc,Anopheles,stephensi,specimen_image_1,1657231249635.jpg
001_pm,Anopheles,stephensi,specimen_image_1,1657228893537.jpg
001_pm,Anopheles,stephensi,specimen_image_2,1657228943421.jpg
001_pm,Anopheles,stephensi,specimen_image_3,1657228969579.jpg
002_mi,Anopheles,stephensi,specimen_image_1,WIN_20220707_17_34_10_Pro-17_35_31.jpg
002_mi,Anopheles,stephensi,specimen_image_3,WIN_20220707_17_35_06_Pro-17_35_42.jpg
002_mi,Anopheles,stephensi,specimen_image_2,WIN_20220707_17_34_41_Pro-17_35_37.jpg
002_p,Anopheles,stephensi,specimen_image_3,1657234670141.jpg
002_p,Anopheles,stephensi,specimen_image_1,1657234567367.jpg
002_p,Anopheles,stephensi,specimen_image_2,1657234622130.jpg
002_pc,Anopheles,stephensi,specimen_image_3,1657231409097.jpg
002_pc,Anopheles,stephensi,specimen_image_1,1657231366514.jpg
002_pc,Anopheles,stephensi,specimen_image_2,1657231382382.jpg
002_pm,Anopheles,stephensi,specimen_image_1,1657230143409.jpg
002_pm,Anopheles,stephensi,specimen_image_3,1657230187216.jpg
002_pm,Anopheles,stephensi,specimen_image_2,1657230161985.jpg
003_mi,Anopheles,stephensi,specimen_image_2,WIN_20220707_17_38_45_Pro-17_39_45.jpg
003_mi,Anopheles,stephensi,specimen_image_1,WIN_20220707_17_38_05_Pro-17_39_39.jpg
003_mi,Anopheles,stephensi,specimen_image_3,WIN_20220707_17_39_12_Pro-17_39_52.jpg
003_p,Anopheles,stephensi,specimen_image_3,1657234735974.jpg
003_p,Anopheles,stephensi,specimen_image_1,1657234703815.jpg
003_p,Anopheles,stephensi,specimen_image_2,1657234718614.jpg
003_pc,Anopheles,stephensi,specimen_image_2,1657231625103.jpg
003_pc,Anopheles,stephensi,specimen_image_1,1657231589975.jpg
003_pc,Anopheles,stephensi,specimen_image_3,1657231635811.jpg
003_pm,Anopheles,stephensi,specimen_image_1,1657231221656.jpg
003_pm,Anopheles,stephensi,specimen_image_3,1657231324505.jpg
003_pm,Anopheles,stephensi,specimen_image_2,1657231284326.jpg
004_mi,Anopheles,stephensi,specimen_image_3,WIN_20220707_17_44_55_Pro-17_50_37.jpg
004_mi,Anopheles,stephensi,specimen_image_2,WIN_20220707_17_44_17_Pro-17_50_32.jpg
004_mi,Anopheles,stephensi,specimen_image_1,WIN_20220707_17_43_35_Pro-17_50_28.jpg
004_p,Anopheles,stephensi,specimen_image_3,1657234812624.jpg
004_p,Anopheles,stephensi,specimen_image_2,1657234792246.jpg
004_p,Anopheles,stephensi,specimen_image_1,1657234769221.jpg
004_pc,Anopheles,stephensi,specimen_image_3,1657231776791.jpg
004_pc,Anopheles,stephensi,specimen_image_1,1657231717491.jpg
004_pc,Anopheles,stephensi,specimen_image_2,1657231736000.jpg
004_pm,Anopheles,stephensi,specimen_image_3,1657231659258.jpg
004_pm,Anopheles,stephensi,specimen_image_2,1657231618302.jpg
004_pm,Anopheles,stephensi,specimen_image_1,1657231548744.jpg
005_mi,Anopheles,stephensi,specimen_image_2,WIN_20220707_18_07_53_Pro-18_9_3.jpg
005_mi,Anopheles,stephensi,specimen_image_3,WIN_20220707_18_08_39_Pro-18_9_10.jpg
