title,date,specimenId,species,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,speciesArray,speciesScore,abdomenArray,abdomenScore,abdomen2Array,abdomen2Score,sexArray,sexScore,speciesModel,sexModel,abdomenStatusModel,abdomenStatus2Model,appVersion,yolovCoordinates,fullImage,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt,specimenIdDup
Gulu-02,06/01/2023,JOG009_01,Anopheles other,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,gulu,paicho,"[0.3201203,0.12653407,0.40675747,0.105406314,0.041181937]",0.40675747,"[0.7663407,0.2336593]",0.7663407,[],,"[0.95142657,0.0485734]",0.95142657,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"336, 1051 - 2396, 2838",http://137.184.182.201:5005/images/session/fullImage-2023-01-06-12-41-43.086-full459d004632e3d0c1-2-25.jpg,http://137.184.182.201:5005/images/session/image-2023-01-06-12-41-34.963-459d004632e3d0c1-2-25.jpg,0.85,Yes,Fresh,,,,,,459d004632e3d0c1:8f3d597e-436a-49d6-b677-62320d511eed,2:25,CDC Light Trap,2023-01-06T12:41:55.116Z,VectorCam V2,False,Jovan,,2023-01-06T12:41:55.116Z,Gulu-02&&06-01-2023&&JOG009_01
Gulu-02,06/01/2023,DG025_01,Anopheles gambiae,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,gulu,paicho,"[0.24424025,0.3413205,0.2688406,0.068604104,0.07699449]",0.3413205,"[0.831035,0.16896494]",0.831035,[],,"[0.57166713,0.42833284]",0.57166713,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"725, 848 - 2151, 2300",http://137.184.182.201:5005/images/session/fullImage-2023-01-06-12-42-08.164-full459d004632e3d0c1-2-52.jpg,http://137.184.182.201:5005/images/session/image-2023-01-06-12-41-55.456-459d004632e3d0c1-2-52.jpg,0.91,Yes,Fresh,,,,,,459d004632e3d0c1:8f3d597e-436a-49d6-b677-62320d511eed,2:52,CDC Light Trap,2023-01-06T12:42:33.516Z,VectorCam V2,False,Jovan,,2023-01-06T12:42:33.516Z,Gulu-02&&06-01-2023&&DG025_01
GULU 02,06/01/2023,KG019_01,Anopheles funestus,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,GULU,Paicho,"[0.44738373,0.30319127,0.18944703,0.03531553,0.024662394]",0.44738373,"[0.65135264,0.3486473]",0.65135264,[],,"[0.83511364,0.16488636]",0.83511364,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"19, 641 - 2448, 2832",http://137.184.182.201:5005/images/session/fullImage-2023-01-06-12-52-08.023-full33dd2ef449f3b50c-4-129.jpg,http://137.184.182.201:5005/images/session/image-2023-01-06-12-52-01.705-33dd2ef449f3b50c-4-129.jpg,0.81,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:129,CDC Light Trap,2023-01-06T12:52:16.433Z,VectorCam V2,False,Kigongo,,2023-01-06T12:52:16.433Z,GULU02&&06-01-2023&&KG019_01
GULU 02,06/01/2023,KG018,Anopheles gambiae,Female,FF - Fully Fed,Anopheles funestus,Female,FF - Fully Fed,,Uganda,GULU,Paicho,"[0.12544401,0.75594026,0.065467596,0.038530998,0.014617125]",0.75594026,"[0.30601835,0.69398165]",0.69398165,"[0.97355527,0.026444737]",0.97355527,"[0.99716115,0.002838921]",0.99716115,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"243, 712 - 2153, 2773",http://137.184.182.201:5005/images/session/fullImage-2023-01-07-14-34-12.313-full33dd2ef449f3b50c-4-125.jpg,http://137.184.182.201:5005/images/session/image-2023-01-07-14-34-11.648-33dd2ef449f3b50c-4-125.jpg,0.77,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:125,CDC Light Trap,2023-01-06T12:52:36.076Z,VectorCam V2,False,Kigongo,,2023-01-07T14:34:14.340Z,GULU02&&06-01-2023&&KG018
GULU 02,06/01/2023,KG018_02,Anopheles funestus,Female,UF - Unfed,Anopheles funestus,Female,FF - Fully Fed,,Uganda,GULU,Paicho,"[0.49539506,0.31306687,0.11573557,0.060649697,0.015152775]",0.49539506,"[0.7868649,0.21313518]",0.7868649,[],,"[0.9742211,0.025778858]",0.9742211,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"555, 1246 - 1760, 2307",http://137.184.182.201:5005/images/session/fullImage-2023-01-07-14-34-15.240-full33dd2ef449f3b50c-4-127.jpg,http://137.184.182.201:5005/images/session/image-2023-01-07-14-34-15.099-33dd2ef449f3b50c-4-127.jpg,0.63,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:127,CDC Light Trap,2023-01-06T12:52:36.085Z,VectorCam V2,False,Kigongo,,2023-01-07T14:34:18.282Z,GULU02&&06-01-2023&&KG018_02
GULU 02,06/01/2023,KG019,Anopheles funestus,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,GULU,Paicho,"[0.44974488,0.115375124,0.35499957,0.057372402,0.02250806]",0.44974488,"[0.8662676,0.13373241]",0.8662676,[],,"[0.99804175,0.0019582708]",0.99804175,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"517, 550 - 2025, 2356",http://137.184.182.201:5005/images/session/fullImage-2023-01-06-12-52-20.073-full33dd2ef449f3b50c-4-128.jpg,http://137.184.182.201:5005/images/session/image-2023-01-06-12-52-02.974-33dd2ef449f3b50c-4-128.jpg,0.89,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:128,CDC Light Trap,2023-01-06T12:52:36.474Z,VectorCam V2,False,Kigongo,,2023-01-06T12:52:36.474Z,GULU02&&06-01-2023&&KG019
GULU 02,06/01/2023,KG021_01,Anopheles other,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,GULU,Paicho,"[0.34582284,0.12559775,0.45515972,0.04568965,0.02773007]",0.45515972,"[0.7376379,0.26236212]",0.7376379,[],,"[0.72864836,0.2713516]",0.72864836,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"505, 877 - 2411, 2628",http://137.184.182.201:5005/images/session/fullImage-2023-01-07-14-34-21.283-full33dd2ef449f3b50c-4-135.jpg,http://137.184.182.201:5005/images/session/image-2023-01-07-14-34-19.838-33dd2ef449f3b50c-4-135.jpg,0.83,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:135,CDC Light Trap,2023-01-06T12:53:03.690Z,VectorCam V2,False,Kigongo,,2023-01-07T14:34:22.935Z,GULU02&&06-01-2023&&KG021_01
GULU 02,06/01/2023,KG021,Anopheles other,Male,UF - Unfed,Anopheles funestus,Female,,,Uganda,GULU,Paicho,"[0.2469192,0.13265644,0.5085536,0.07169846,0.040172327]",0.5085536,"[0.680674,0.319326]",0.680674,[],,"[0.08579198,0.914208]",0.914208,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"715, 65 - 2044, 2270",http://137.184.182.201:5005/images/session/fullImage-2023-01-07-14-34-19.685-full33dd2ef449f3b50c-4-134.jpg,http://137.184.182.201:5005/images/session/image-2023-01-07-14-34-19.305-33dd2ef449f3b50c-4-134.jpg,0.84,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:134,CDC Light Trap,2023-01-06T12:53:04.927Z,VectorCam V2,False,Kigongo,,2023-01-07T14:34:22.569Z,GULU02&&06-01-2023&&KG021
GULU 02,06/01/2023,JA033,Anopheles gambiae,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,GULU,Paicho,"[0.098034576,0.72028327,0.10240577,0.01894147,0.06033501]",0.72028327,"[0.87254,0.12745999]",0.87254,[],,"[0.97120047,0.028799498]",0.97120047,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"-1, 510 - 1884, 2831",http://137.184.182.201:5005/images/session/fullImage-2023-01-06-12-53-12.647-full33dd2ef449f3b50c-4-143.jpg,http://137.184.182.201:5005/images/session/image-2023-01-06-12-53-05.572-33dd2ef449f3b50c-4-143.jpg,0.79,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:143,CDC Light Trap,2023-01-06T12:53:25.945Z,VectorCam V2,False,Kigongo,,2023-01-06T12:53:25.945Z,GULU02&&06-01-2023&&JA033
GULU 02,06/01/2023,JA032_01,Anopheles gambiae,Female,UF - Unfed,Anopheles funestus,Female,,,Uganda,GULU,Paicho,"[0.04594928,0.7799259,0.08716839,0.022215573,0.06474101]",0.7799259,"[0.89121896,0.108781114]",0.89121896,[],,"[0.9985316,0.0014683476]",0.9985316,species_12_06_2022.ptl,sex_12_02_2022.ptl,abdomen_stage1_12_02_2022.ptl,abdomen_stage2_12_02_2022.ptl,2.0.4,"11, -15 - 2475, 3069",http://137.184.182.201:5005/images/session/fullImage-2023-01-07-14-34-25.632-full33dd2ef449f3b50c-4-141.jpg,http://137.184.182.201:5005/images/session/image-2023-01-07-14-34-24.065-33dd2ef449f3b50c-4-141.jpg,0.89,Yes,Fresh,,,,,,33dd2ef449f3b50c:2677d139-bacc-4abe-9f2f-d9ed074868cc,4:141,CDC Light Trap,2023-01-06T12:54:31.772Z,VectorCam V2,False,Kigongo,,2023-01-07T14:34:28.102Z,GULU02&&06-01-2023&&JA032_01
