index,Image_name,specimen,species,source_dataset
0,Gulu-02&&06-01-2023&&JOG009_01.jpg,Gulu-02&&06-01-2023&&JOG009,0,M7
1,Gulu-02&&06-01-2023&&DG025_01.jpg,Gulu-02&&06-01-2023&&DG025,0,M7
3,GULU02&&06-01-2023&&KG018.jpg,GULU02&&06-01-2023&&KG018,0,M7
4,GULU02&&06-01-2023&&KG018_02.jpg,GULU02&&06-01-2023&&KG018,0,M7
6,GULU02&&06-01-2023&&KG021_01.jpg,GULU02&&06-01-2023&&KG021,0,M7
7,GULU02&&06-01-2023&&KG021.jpg,GULU02&&06-01-2023&&KG021,0,M7
8,GULU02&&06-01-2023&&JA033.jpg,GULU02&&06-01-2023&&JA033,0,M7
9,GULU02&&06-01-2023&&JA032_01.jpg,GULU02&&06-01-2023&&JA032,0,M7
10,GULU02&&06-01-2023&&JA032.jpg,GULU02&&06-01-2023&&JA032,0,M7
11,LIRA01&&07-01-2023&&KL001.jpg,LIRA01&&07-01-2023&&KL001,0,M7
12,lira01&&07-01-2023&&JAL034_01.jpg,lira01&&07-01-2023&&JAL034,0,M7
13,LIRA01&&07-01-2023&&KL024.jpg,LIRA01&&07-01-2023&&KL024,0,M7
14,Lira-01&&07-01-2023&&JAL010.jpg,Lira-01&&07-01-2023&&JAL010,0,M7
15,LIRA01&&07-01-2023&&KL001_02.jpg,LIRA01&&07-01-2023&&KL001,0,M7
16,LIRA01&&07-01-2023&&KL012_01.jpg,LIRA01&&07-01-2023&&KL012,0,M7
17,LIRA01&&07-01-2023&&KL013.jpg,LIRA01&&07-01-2023&&KL013,0,M7
18,LIRA01&&07-01-2023&&KL018_01.jpg,LIRA01&&07-01-2023&&KL018,0,M7
19,LIRA01&&07-01-2023&&KL017_02.jpg,LIRA01&&07-01-2023&&KL017,0,M7
20,LIRA01&&07-01-2023&&KL021_02.jpg,LIRA01&&07-01-2023&&KL021,0,M7
22,LIRA01&&07-01-2023&&KL022_02.jpg,LIRA01&&07-01-2023&&KL022,0,M7
23,LIRA01&&07-01-2023&&KL024_02.jpg,LIRA01&&07-01-2023&&KL024,0,M7
24,LIRA01&&07-01-2023&&KL029_01.jpg,LIRA01&&07-01-2023&&KL029,0,M7
25,LIRA01&&07-01-2023&&KL018.jpg,LIRA01&&07-01-2023&&KL018,0,M7
27,LIRA01&&07-01-2023&&KL028_02.jpg,LIRA01&&07-01-2023&&KL028,0,M7
28,LIRA01&&07-01-2023&&KL032.jpg,LIRA01&&07-01-2023&&KL032,0,M7
31,GULU02&&06-01-2023&&KG015.jpg,GULU02&&06-01-2023&&KG015,0,M7
32,GULU02&&06-01-2023&&KG015_01.jpg,GULU02&&06-01-2023&&KG015,0,M7
33,GULU02&&06-01-2023&&KG016_01.jpg,GULU02&&06-01-2023&&KG016,0,M7
34,GULU02&&06-01-2023&&KG016_02.jpg,GULU02&&06-01-2023&&KG016,0,M7
35,GULU02&&06-01-2023&&KG015_02.jpg,GULU02&&06-01-2023&&KG015,0,M7
36,GULU02&&06-01-2023&&KG016.jpg,GULU02&&06-01-2023&&KG016,0,M7
37,GULU02&&06-01-2023&&KG017.jpg,GULU02&&06-01-2023&&KG017,0,M7
39,GULU02&&06-01-2023&&KG017_02.jpg,GULU02&&06-01-2023&&KG017,0,M7
40,GULU02&&06-01-2023&&KG017_01.jpg,GULU02&&06-01-2023&&KG017,0,M7
42,GULU02&&06-01-2023&&KG020.jpg,GULU02&&06-01-2023&&KG020,0,M7
43,GULU02&&06-01-2023&&KG020_01.jpg,GULU02&&06-01-2023&&KG020,0,M7
44,GULU02&&06-01-2023&&KG018_01.jpg,GULU02&&06-01-2023&&KG018,0,M7
45,GULU02&&06-01-2023&&KG020_02.jpg,GULU02&&06-01-2023&&KG020,0,M7
46,GULU02&&06-01-2023&&KG021_02.jpg,GULU02&&06-01-2023&&KG021,0,M7
47,GULU02&&06-01-2023&&JA031.jpg,GULU02&&06-01-2023&&JA031,0,M7
48,GULU02&&06-01-2023&&JA031_01.jpg,GULU02&&06-01-2023&&JA031,0,M7
49,GULU02&&06-01-2023&&JA031_02.jpg,GULU02&&06-01-2023&&JA031,0,M7
50,GULU02&&06-01-2023&&JA032_02.jpg,GULU02&&06-01-2023&&JA032,0,M7
51,GULU02&&06-01-2023&&JA033_02.jpg,GULU02&&06-01-2023&&JA033,0,M7
54,GULU02&&06-01-2023&&JA035.jpg,GULU02&&06-01-2023&&JA035,0,M7
55,GULU02&&06-01-2023&&JA033_01.jpg,GULU02&&06-01-2023&&JA033,0,M7
57,GULU02&&06-01-2023&&JA035_01.jpg,GULU02&&06-01-2023&&JA035,0,M7
59,GULU02&&06-01-2023&&JA035_02.jpg,GULU02&&06-01-2023&&JA035,0,M7
62,GULU02&&06-01-2023&&JA037.jpg,GULU02&&06-01-2023&&JA037,0,M7
63,GULU02&&06-01-2023&&JA037_01.jpg,GULU02&&06-01-2023&&JA037,0,M7
64,GULU02&&06-01-2023&&JA037_02.jpg,GULU02&&06-01-2023&&JA037,0,M7
65,GULU02&&06-01-2023&&JA038.jpg,GULU02&&06-01-2023&&JA038,0,M7
66,GULU02&&06-01-2023&&JA038_02.jpg,GULU02&&06-01-2023&&JA038,0,M7
68,GULU02&&06-01-2023&&JA038_01.jpg,GULU02&&06-01-2023&&JA038,0,M7
73,GULU02&&06-01-2023&&JA041_02.jpg,GULU02&&06-01-2023&&JA041,0,M7
74,GULU02&&06-01-2023&&JA041.jpg,GULU02&&06-01-2023&&JA041,0,M7
76,GULU02&&06-01-2023&&JA041_01.jpg,GULU02&&06-01-2023&&JA041,0,M7
77,GULU02&&06-01-2023&&JA042_01.jpg,GULU02&&06-01-2023&&JA042,0,M7
78,GULU02&&06-01-2023&&JA042.jpg,GULU02&&06-01-2023&&JA042,0,M7
79,GULU02&&06-01-2023&&JA042_02.jpg,GULU02&&06-01-2023&&JA042,0,M7
81,Gulu01&&05-01-2023&&KG001.jpg,Gulu01&&05-01-2023&&KG001,0,M7
83,Gulu01&&05-01-2023&&KG001_02.jpg,Gulu01&&05-01-2023&&KG001,0,M7
84,Gulu01&&05-01-2023&&KG001_01.jpg,Gulu01&&05-01-2023&&KG001,0,M7
89,Gulu01&&05-01-2023&&KG003.jpg,Gulu01&&05-01-2023&&KG003,0,M7
90,Gulu01&&05-01-2023&&KG003_01.jpg,Gulu01&&05-01-2023&&KG003,0,M7
91,Gulu01&&05-01-2023&&KG003_02.jpg,Gulu01&&05-01-2023&&KG003,0,M7
92,Gulu01&&05-01-2023&&KG003_03.jpg,Gulu01&&05-01-2023&&KG003,0,M7
96,Gulu01&&05-01-2023&&KG005.jpg,Gulu01&&05-01-2023&&KG005,0,M7
97,Gulu01&&05-01-2023&&KG005_01.jpg,Gulu01&&05-01-2023&&KG005,0,M7
98,Lira-01&&07-01-2023&&JAL004.jpg,Lira-01&&07-01-2023&&JAL004,0,M7
99,Lira-01&&07-01-2023&&JAL002_02.jpg,Lira-01&&07-01-2023&&JAL002,0,M7
100,Lira-01&&07-01-2023&&JAL003_02.jpg,Lira-01&&07-01-2023&&JAL003,0,M7
101,Lira-01&&07-01-2023&&JAL003_01.jpg,Lira-01&&07-01-2023&&JAL003,0,M7
102,Lira-01&&07-01-2023&&JAL005.jpg,Lira-01&&07-01-2023&&JAL005,0,M7
