index,Image_name,specimen,species,source_dataset,title,date,specimenId,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,speciesArray,speciesScore,abdomenArray,abdomenScore,abdomen2Array,abdomen2Score,sexArray,sexScore,speciesModel,sexModel,abdomenStatusModel,abdomenStatus2Model,appVersion,yolovCoordinates,fullImage,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt,specimenIdDup,image_exists
0,Gulu-02&&06-01-2023&&JOG009_01.jpg,Gulu-02&&06-01-2023&&JOG009,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1,Gulu-02&&06-01-2023&&DG025_01.jpg,Gulu-02&&06-01-2023&&DG025,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2,GULU02&&06-01-2023&&KG019_01.jpg,GULU02&&06-01-2023&&KG019,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
3,GULU02&&06-01-2023&&KG018.jpg,GULU02&&06-01-2023&&KG018,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
4,GULU02&&06-01-2023&&KG018_02.jpg,GULU02&&06-01-2023&&KG018,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
5,GULU02&&06-01-2023&&KG019.jpg,GULU02&&06-01-2023&&KG019,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
6,GULU02&&06-01-2023&&KG021_01.jpg,GULU02&&06-01-2023&&KG021,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
7,GULU02&&06-01-2023&&KG021.jpg,GULU02&&06-01-2023&&KG021,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
8,GULU02&&06-01-2023&&JA033.jpg,GULU02&&06-01-2023&&JA033,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
9,GULU02&&06-01-2023&&JA032_01.jpg,GULU02&&06-01-2023&&JA032,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
10,GULU02&&06-01-2023&&JA032.jpg,GULU02&&06-01-2023&&JA032,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
11,LIRA01&&07-01-2023&&KL001.jpg,LIRA01&&07-01-2023&&KL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
12,lira01&&07-01-2023&&JAL034_01.jpg,lira01&&07-01-2023&&JAL034,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
13,LIRA01&&07-01-2023&&KL024.jpg,LIRA01&&07-01-2023&&KL024,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
14,Lira-01&&07-01-2023&&JAL010.jpg,Lira-01&&07-01-2023&&JAL010,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
15,LIRA01&&07-01-2023&&KL001_02.jpg,LIRA01&&07-01-2023&&KL001,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
16,LIRA01&&07-01-2023&&KL012_01.jpg,LIRA01&&07-01-2023&&KL012,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
17,LIRA01&&07-01-2023&&KL013.jpg,LIRA01&&07-01-2023&&KL013,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
18,LIRA01&&07-01-2023&&KL018_01.jpg,LIRA01&&07-01-2023&&KL018,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
19,LIRA01&&07-01-2023&&KL017_02.jpg,LIRA01&&07-01-2023&&KL017,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
20,LIRA01&&07-01-2023&&KL021_02.jpg,LIRA01&&07-01-2023&&KL021,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
21,LIRA01&&07-01-2023&&KL023.jpg,LIRA01&&07-01-2023&&KL023,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
22,LIRA01&&07-01-2023&&KL022_02.jpg,LIRA01&&07-01-2023&&KL022,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
